Date,Open,High,Low,Close,Adj Close,Volume
2019-05-29,201.710007,202.279999,198.470001,198.720001,195.324600,1803600
2019-05-30,199.110001,200.050003,198.460007,198.940002,195.540833,1615700
2019-05-31,198.289993,199.389999,196.610001,198.210007,196.055191,2290400
2019-06-03,198.929993,199.660004,197.309998,199.580002,197.410294,1701500
2019-06-04,200.139999,200.309998,196.369995,199.380005,197.212463,1952900
2019-06-05,200.500000,204.850006,200.029999,204.649994,202.425171,1886600
2019-06-06,205.000000,206.410004,203.889999,205.759995,203.523102,1403600
2019-06-07,206.899994,208.470001,204.389999,204.389999,202.167999,1560700
2019-06-10,204.100006,204.690002,201.479996,203.419998,201.208527,1776200
2019-06-11,203.199997,203.809998,200.759995,201.970001,199.774307,1151700
2019-06-12,203.330002,205.309998,202.789993,204.550003,202.326248,1309000
2019-06-13,204.600006,205.500000,203.250000,204.770004,202.543869,1701600
2019-06-14,205.660004,207.330002,204.949997,206.960007,204.710068,1381300
2019-06-17,207.250000,208.000000,205.250000,206.369995,204.126465,1558400
2019-06-18,207.830002,207.949997,203.869995,205.419998,203.186798,1644100
2019-06-19,204.289993,207.070007,204.259995,206.240005,203.997879,1650700
2019-06-20,206.660004,207.460007,204.720001,206.380005,204.136368,2220900
2019-06-21,207.130005,208.470001,205.419998,207.550003,205.293640,3140200
2019-06-24,208.360001,208.649994,206.869995,208.199997,205.936569,1502300
2019-06-25,208.380005,208.910004,205.949997,206.220001,203.978104,1738500
2019-06-26,205.399994,206.240005,203.020004,203.070007,200.862350,1848600
2019-06-27,204.800003,205.460007,203.619995,204.550003,202.326248,1882300
2019-06-28,203.970001,208.229996,203.250000,204.860001,202.632889,2911900
2019-07-01,204.369995,204.860001,201.059998,204.020004,201.802017,2134500
2019-07-02,204.770004,207.899994,204.750000,207.660004,205.402451,1674000
2019-07-03,207.889999,209.460007,207.660004,208.729996,206.460815,1413600
2019-07-05,207.440002,208.470001,205.330002,208.110001,205.847549,1049100
2019-07-08,208.610001,209.330002,207.419998,209.130005,206.856461,1080600
2019-07-09,208.240005,209.000000,207.169998,208.160004,205.897018,1819000
2019-07-10,208.429993,210.820007,207.550003,209.479996,207.202652,1480500
2019-07-11,209.589996,210.720001,208.559998,210.399994,208.112656,1457600
2019-07-12,209.899994,210.259995,207.789993,208.729996,206.460815,1570800
2019-07-15,208.669998,209.619995,207.690002,208.850006,206.579514,2178500
2019-07-16,208.660004,209.429993,206.800003,207.880005,205.620056,1070400
2019-07-17,208.699997,211.339996,208.699997,209.910004,207.627991,1639200
2019-07-18,210.259995,212.479996,209.000000,212.360001,210.051346,1103300
2019-07-19,211.800003,212.500000,209.399994,209.729996,207.449936,1460900
2019-07-22,210.009995,210.690002,207.729996,209.360001,207.083954,1636900
2019-07-23,209.410004,209.500000,206.929993,207.300003,205.046371,1584300
2019-07-24,208.339996,210.100006,206.539993,210.059998,207.776352,1520000
2019-07-25,208.139999,209.440002,207.039993,207.630005,205.372772,1752500
2019-07-26,208.139999,209.750000,207.800003,209.169998,206.896027,1081200
2019-07-29,209.899994,211.539993,209.279999,211.380005,209.082001,1318500
2019-07-30,211.389999,212.369995,208.270004,209.389999,207.113632,1611800
2019-07-31,209.869995,210.169998,206.210007,207.169998,204.917770,2111500
2019-08-01,206.630005,211.610001,206.479996,210.259995,207.974167,1876900
2019-08-02,211.119995,213.229996,210.020004,211.410004,209.111694,1728200
2019-08-05,211.559998,212.639999,207.100006,208.050003,205.788208,2209600
2019-08-06,208.139999,212.149994,206.639999,211.399994,209.101776,1792900
2019-08-07,211.389999,214.000000,208.639999,212.869995,210.555801,1723200
2019-08-08,213.220001,215.899994,211.210007,215.220001,212.880249,1492800
2019-08-09,215.860001,217.179993,215.009995,216.479996,214.126541,1457200
2019-08-12,217.110001,217.110001,205.779999,215.449997,213.107758,805100
2019-08-13,215.389999,217.050003,214.779999,215.619995,213.275909,1874200
2019-08-14,216.100006,217.979996,214.729996,214.960007,212.623093,2389500
2019-08-15,214.630005,217.869995,214.289993,217.149994,214.789261,1966400
2019-08-16,218.289993,219.779999,216.399994,217.529999,215.165131,2622100
2019-08-19,217.309998,219.610001,216.619995,218.960007,216.579590,1408100
2019-08-20,219.800003,219.800003,217.389999,219.130005,216.747757,2079000
2019-08-21,219.860001,221.339996,219.149994,221.259995,218.854584,1870900
2019-08-22,221.169998,221.770004,219.529999,221.619995,219.210678,2289900
2019-08-23,222.529999,224.199997,220.630005,221.899994,219.487625,2621400
2019-08-26,222.500000,223.690002,221.589996,223.619995,221.188934,1863800
2019-08-27,224.229996,225.570007,223.899994,224.009995,221.574692,2385300
2019-08-28,223.139999,223.979996,220.169998,221.190002,220.013062,2839200
2019-08-29,222.520004,222.520004,219.210007,221.119995,219.943420,2128000
